132921	
	(0.3464721242,0.7678755739)	(0.04103567919,-0.02692567211)	(-0.2386879258,-0.05135845045)	(0.3091494512,0.7872599309)	(0.03724147843,-0.02207923604)
	(-0.2948525459,-0.04923784397)	(0.3494853983,0.7631234126)	(2.031699617e-32,-7.361191613e-33)	(0.8352629145,0.2558786774)	(-2.483371959e-17,2.630786777e-17)
	(0.8637230262,0.1430849512)	(-0.02684117788,0.02788745389)	(0.8622010934,0.1541936643)	(-0.02891896831,0.02689723558)	(0.8502565071,0.2069711412)
	(-0.02727370784,0.0242134991)	(0.8441744468,0.2285994149)	(-2.560651563e-17,2.555835598e-17)	(0.8582241212,0.1719552741)	(0.002325174224,0.0003620648428)
	(-0.02807313247,0.0277175865)	(0.8571590398,0.1786977011)	(-2.637931167e-17,2.480884418e-17)	(0.8516478008,0.2003776694)	(-2.715210771e-17,2.405933238e-17)
	(0.8439940653,0.2283521372)	(0.002262007162,0.0004344230036)	(-0.02805343067,0.02345726922)	(0.8353653886,0.2560812732)	(-2.869769979e-17,2.256030879e-17)
	(0.8254543485,0.28295729)	(0.0021988401,0.0005067811645)	(-0.02879168016,0.02194159542)	(0.8197129271,0.2974924035)	(-0.03748632048,0.02999693505)
	(0.8280482842,0.2760333477)	(1.580666141e-32,-7.690755116e-33)	(0.8749444943,0.02312438404)	(1.681765698e-32,-7.973125154e-33)	(0.8737552501,0.05378641719)
	(0.002451508348,0.0002173485212)	(-2.32881275e-17,2.780689137e-17)	(0.8714885907,0.08400052276)	(-2.406092354e-17,2.705737957e-17)	(0.8681445161,0.1137667008)
	(0.002388341286,0.000289706682)	(-0.01876276487,0.02447101556)	(0.8749931745,0.04163390209)	(-0.02601118045,0.02869244361)	(0.8671043913,0.1250888071)
	(-0.02792136529,0.03258138783)	(0.8707150234,0.09761548524)	(-0.02700261615,0.03347245518)	(0.8735472797,0.06765100671)	(1.466789335e-32,-7.315937799e-33)
	(0.8750563232,-0.007985576662)	(0.00251467541,0.0001449903603)	(-0.01810648111,0.02510752557)	(0.8758019031,0.0108240188)	(-0.01855853587,0.02734460499)
	(0.8755836699,-0.01967143264)	(-4.039081446e-17,6.161285676e-17)	(0.8740877446,-0.0396066395)	(-0.09161692323,0.06754906952)	(0.8108054034,0.3113894573)
	(-0.0581740773,0.04296238549)	(0.812959676,0.3112832307)	(0.001950789286,-0.01290548461)	(-0.06725896362,0.04710954324)	(0.8021205691,0.3337370022)
	(-0.06631399137,0.05144017258)	(0.8216018224,0.2898560538)	(-0.1014141653,0.07089922798)	(0.7996518328,0.3336053959)	(-0.1217796568,0.0804443578)
	(0.7861261674,0.3561117217)	(-0.09906217073,0.0620061058)	(0.7758655865,0.3788917284)	(-0.07667820663,0.05090838187)	(0.7903897954,0.3557930816)
	(0.001839624836,-0.01637832325)	(-0.1450722066,0.09031214931)	(0.7707637173,0.3785324842)	(-0.1223155296,0.07210496389)	(0.7599963527,0.401276842)
	(0.001636468155,-0.02530748447)	(-0.1292074789,0.06819284554)	(0.7411125399,0.4307832215)	(-0.1574947358,0.08796021215)	(0.751707086,0.4087746685)
	(-0.1399676598,0.0577595811)	(0.701320963,0.487702815)	(-0.1751209616,0.06810059722)	(0.6917110904,0.4956740003)	(-0.1792998759,0.05967886505)
	(0.6689972638,0.5249023611)	(-0.143777088,0.051461678)	(0.6804148718,0.5151596024)	(0.013942581,-0.02216148004)	(-0.1705615334,0.07534342665)
	(0.7118657147,0.4681455487)	(-0.1358732825,0.06365178083)	(0.7213724634,0.4597523074)	(0.0079968901,-0.0241168099)	(-0.1648803725,0.08253312277)
	(0.7327605206,0.4378098977)	(-0.2101042898,0.07620557681)	(0.6800086919,0.5046529535)	(-0.2318707964,0.03099353095)	(0.5685131404,0.6277418474)
	(0.03015862749,-0.03080947564)	(-0.241460839,0.04260484982)	(0.594031519,0.6010639796)	(-0.2628755129,0.04141330754)	(0.5827802959,0.6083587807)
	(-0.2592800776,0.03038112551)	(0.5582287165,0.6324488272)	(-0.2438039777,0.08353247497)	(0.6699993856,0.5098343622)	(-0.2708320711,0.0560436899)
	(0.6066921032,0.5803674589)	(-0.2691426625,0.0691794138)	(0.6306352111,0.5529091592)	(-0.2514635584,0.07486177979)	(0.6501827904,0.5335238363)
